All genes,MGI essential,Autosomal dominant,Haploinsufficient,High pLI,High Shet,High Phi,High missense z,ClinVar,OMIM,GWAS nearest,TF,DrugBank,High EDS,Olfactory,eQTL0-deficient
125,473,1297,5311,627,777,3551,1051,269,443,288,2020,1493,632,81399,729020
126,474,1298,5354,633,781,3631,1059,270,445,290,2034,1584,635,81442,100463289
127,475,1299,5376,639,782,3643,1072,271,462,301,2063,1586,639,81448,119392
128,476,1300,5631,650,800,3678,1105,272,471,306,2077,1588,643,81466,1791
130,477,1301,5727,652,801,3708,1106,273,472,307,2078,1589,646,81469,93377
131,478,1302,5728,655,805,4035,1107,274,475,308,2099,1595,648,81470,5076
132,482,1311,5781,658,811,4036,1108,275,477,309,2100,1636,649,81472,56652
133,487,1371,5925,659,815,4040,1128,283,478,311,2101,1644,650,81696,4586
134,488,1387,5979,667,827,4124,1132,284,486,318,2103,1646,651,81697,387266
135,490,1406,6102,673,829,4130,1141,285,487,320,2104,1719,652,81797,440023
136,527,1409,6197,689,830,4133,1152,286,488,322,2113,1723,653,119678,390190
140,537,1410,6223,695,860,4134,1173,287,491,325,2114,1735,654,119679,390191
141,538,1411,6229,710,862,4139,1175,288,501,326,2115,1786,655,119682,219968
142,540,1413,6231,718,869,4214,1182,291,525,327,2116,1800,657,119692,219982
143,546,1414,6299,734,890,4216,1183,311,538,333,2117,1803,658,119694,219983
146,547,1415,6323,744,892,4302,1209,321,540,335,2118,1812,668,119695,100130348
147,554,1420,6326,745,894,4627,1213,324,545,336,2119,1813,678,119749,219990
148,573,1421,6469,747,896,4628,1241,326,546,337,2120,1814,687,119764,3630
150,579,1427,6473,752,904,4629,1277,331,547,338,2122,1890,688,119765,54766
151,580,1428,6496,770,908,4643,1281,335,549,339,2128,1901,694,119772,503497
152,582,1441,6535,773,942,4644,1314,336,554,341,2186,1909,715,119774,143496
153,585,1462,6598,774,944,4649,1387,337,567,345,2290,1956,716,120065,119772
154,587,1464,6657,775,959,4650,1399,338,570,348,2294,1991,717,120066,143501
