All genes,MGI essential,Autosomal dominant,Haploinsufficient,High pLI,High Shet,High Phi,High missense z,ClinVar,OMIM,GWAS nearest,TF,DrugBank,High EDS,Olfactory,eQTL0-deficient
1762,7014,,,8030,8852,,64743,4001,7134,4208,116039,,9444,,
1763,7018,,,8036,8870,,64783,4009,7136,4209,116071,,9448,,
1767,7019,,,8065,8880,,64919,4010,7137,4211,116092,,9455,,
1768,7020,,,8079,8899,,65123,4014,7138,4212,116113,,9462,,
1769,7021,,,8085,8905,,65249,4015,7139,4214,116115,,9464,,
1770,7022,,,8087,8911,,65264,4018,7140,4216,116412,,9472,,
1773,7023,,,8120,8927,,65986,4023,7150,4218,116448,,9478,,
1774,7025,,,8125,8929,,78999,4026,7157,4225,117154,,9479,,
1775,7026,,,8178,8932,,79012,4035,7168,4234,117581,,9480,,
1776,7027,,,8189,8970,,79018,4036,7169,4237,117608,,9496,,
1777,7035,,,8193,8986,,79065,4038,7170,4238,118472,,9509,,
1778,7037,,,8200,9016,,79071,4040,7172,4240,118738,,9510,,
1780,7040,,,8202,9021,,79176,4041,7173,4246,120237,,9515,,
1781,7042,,,8204,9025,,79269,4043,7187,4249,121274,,9542,,
1783,7043,,,8233,9043,,79414,4045,7225,4254,121340,,9543,,
1785,7044,,,8237,9044,,79501,4047,7227,4255,121536,,9552,,
1786,7046,,,8239,9045,,79575,4052,7249,4256,121549,,9555,,
1787,7048,,,8241,9063,,79577,4053,7251,4277,121599,,9568,,
1788,7049,,,8242,9066,,79595,4054,7252,4285,121643,,9580,,
1789,7050,,,8243,9069,,79654,4059,7259,4286,122953,,9595,,
1791,7051,,,8277,9070,,79665,4066,7273,4289,124535,,9610,,
1793,7054,,,8289,9073,,79699,4067,7274,4296,124961,,9625,,
1794,7056,,,8295,9075,,79705,4068,7276,4299,125893,,9627,,
1795,7057,,,8301,9079,,79718,4069,7284,4300,125919,,9638,,
1796,7067,,,8322,9092,,79724,4070,7287,4301,126017,,9644,,
1797,7072,,,8396,9096,,79759,4072,7297,4308,126068,,9645,,
1798,7073,,,8405,9101,,79791,4087,7299,4311,126069,,9670,,
1800,7075,,,8408,9112,,79798,4088,7305,4314,126070,,9672,,
1801,7076,,,8412,9113,,79869,4089,7306,4316,126208,,9687,,
1802,7080,,,8425,9114,,79946,4091,7317,4317,126231,,9688,,
1803,7083,,,8445,9126,,79990,4093,7319,4318,126295,,9693,,
1804,7084,,,8450,9128,,80124,4094,7337,4319,126299,,9697,,
1805,7086,,,8451,9129,,80128,4099,7341,4321,126375,,9705,,
1806,7090,,,8452,9130,,80155,4107,7345,4322,127343,,9722,,
1807,7092,,,8453,9131,,80204,4108,7369,4323,127396,,9732,,
1808,7094,,,8454,9139,,80232,4112,7372,4324,127665,,9738,,
1809,7111,,,8455,9145,,80311,4113,7374,4325,128209,,9745,,
1810,7122,,,8456,9181,,80315,4114,7380,4329,128408,,9751,,
1811,7128,,,8467,9191,,80335,4115,7381,4330,128553,,9760,,
1812,7137,,,8473,9202,,80352,4117,7389,4331,128611,,9762,,
1813,7139,,,8476,9203,,80725,4123,7390,4336,129025,,9771,,
1814,7150,,,8480,9211,,80728,4125,7391,4340,130497,,9783,,
1815,7155,,,8481,9231,,80757,4126,7399,4342,130557,,9788,,
1819,7156,,,8498,9241,,80758,4128,7401,4343,130916,,9792,,
1820,7157,,,8499,9242,,81061,4129,7403,4345,132625,,9796,,
1821,7159,,,8500,9252,,81099,4131,7414,4353,132660,,9806,,
1822,7161,,,8508,9261,,81559,4137,7415,4354,133923,,9815,,
1823,7167,,,8521,9267,,81603,4141,7421,4355,134187,,9820,,
1824,7168,,,8525,9276,,81608,4143,7424,4356,135935,,9828,,
1825,7170,,,8527,9282,,81794,4148,7428,4357,136051,,9829,,
1826,7178,,,8533,9295,,81894,4149,7436,4360,136259,,9832,,
1827,7182,,,8539,9296,,83737,4150,7439,4363,137209,,9839,,
1828,7184,,,8540,9306,,83855,4153,7443,4430,137814,,9844,,
1829,7186,,,8541,9314,,83983,4155,7450,4437,138151,,9846,,
1830,7187,,,8546,9318,,84078,4157,7454,4477,138715,,9848,,
1831,7189,,,8553,9320,,84148,4160,7456,4482,139324,,9848,,
1832,7203,,,8554,9331,,84162,4161,7466,4488,139628,,9854,,
1833,7204,,,8566,9334,,84181,4163,7473,4507,139735,,9861,,
1834,7216,,,8570,9338,,84188,4166,7474,4524,140467,,9863,,
1836,7227,,,8572,9343,,84196,4171,7476,4528,140612,,9873,,
1837,7249,,,8573,9349,,84206,4173,7480,4542,140628,,9874,,
1838,7251,,,8603,9352,,84210,4174,7486,4544,140685,,9881,,
1839,7253,,,8607,9353,,84219,4175,7490,4548,140690,,9891,,
1840,7264,,,8609,9355,,84231,4179,7498,4582,140883,,9901,,
1841,7273,,,8615,9361,,84301,4188,7504,4583,144348,,9902,,
1842,7283,,,8622,9363,,84433,4191,7507,4585,144455,,9911,,
1843,7289,,,8626,9367,,84444,4192,7516,4586,145258,,9938,,
1844,7290,,,8642,9369,,84446,4204,7535,4598,145873,,9951,,
1845,7291,,,8648,9375,,84461,4205,7547,4599,146050,,9953,,
1846,7295,,,8661,9378,,84502,4208,7552,4600,146198,,9955,,
1847,7296,,,8662,9394,,84552,4210,7555,4601,146434,,9960,,
1848,7299,,,8664,9406,,84617,4212,7592,4602,146540,,9971,,
1849,7306,,,8666,9411,,84628,4214,7704,4604,146542,,9990,,
1850,7316,,,8671,9415,,84634,4217,7786,4607,147657,,10000,,
1852,7319,,,8672,9416,,84669,4222,7827,4608,147658,,10019,,
1854,7329,,,8674,9425,,84678,4232,7840,4610,147660,,10021,,
1855,7332,,,8678,9444,,84687,4247,7841,4615,147686,,10044,,
1856,7334,,,8697,9452,,84790,4254,7846,4624,147687,,10058,,
1857,7337,,,8715,9456,,84894,4255,7849,4625,147694,,10060,,
1859,7341,,,8721,9459,,84914,4256,7852,4627,147741,,10062,,
1861,7342,,,8726,9468,,84948,4257,7879,4629,147807,,10063,,
1869,7357,,,8742,9472,,84991,4261,7915,4632,147808,,10089,,
1870,7358,,,8745,9474,,85002,4284,7941,4633,147837,,10098,,
1871,7379,,,8761,9475,,85236,4285,7942,4634,147912,,10113,,
1874,7389,,,8766,9478,,85358,4286,7991,4635,147923,,10123,,
1875,7390,,,8775,9479,,85451,4287,8029,4642,147929,,10124,,
1876,7392,,,8776,9480,,85508,4292,8036,4643,147948,,10125,,
1877,7398,,,8805,9493,,89792,4297,8048,4645,147949,,10129,,
1879,7409,,,8812,9495,,89796,4298,8050,4646,148103,,10140,,
1880,7412,,,8816,9500,,89890,4299,8074,4648,148156,,10144,,
1889,7414,,,8821,9506,,90249,4300,8086,4649,148198,,10154,,
1890,7415,,,8826,9519,,91409,4308,8092,4650,148206,,10163,,
1891,7416,,,8829,9520,,91584,4311,8139,4651,148213,,10171,,
1892,7422,,,8831,9536,,91608,4312,8195,4660,148254,,10194,,
1893,7424,,,8833,9538,,91768,4313,8200,4661,148266,,10202,,
1894,7425,,,8837,9542,,92312,4317,8241,4664,148268,,10203,,
1896,7428,,,8841,9553,,92999,4318,8242,4666,148327,,10215,,
1901,7430,,,8848,9564,,93624,4322,8243,4676,148979,,10231,,
1902,7433,,,8850,9567,,94030,4323,8260,4678,149076,,10234,,
1903,7465,,,8852,9568,,112755,4327,8288,4684,149483,,10235,,
1906,7466,,,8853,9578,,112936,4329,8289,4685,150921,,10252,,
1907,7471,,,8864,9580,,112939,4335,8291,4688,151126,,10260,,
1908,7472,,,8874,9584,,113189,4337,8292,4690,152485,,10265,,
1909,7473,,,8880,9586,,114088,4338,8312,4691,152518,,10290,,
1910,7474,,,8881,9589,,114336,4340,8313,4693,152687,,10290,,
1911,7477,,,8893,9615,,114786,4342,8322,4703,152815,,10318,,
1912,7481,,,8897,9632,,114794,4351,8323,4704,153572,,10320,,
1915,7483,,,8899,9640,,114825,4352,8379,4705,155054,,10335,,
1917,7484,,,8911,9643,,115207,4353,8398,4706,155061,,10347,,
1933,7486,,,8913,9646,,115426,4358,8419,4716,157848,,10360,,
1936,7490,,,8924,9649,,115509,4359,8431,4720,158399,,10365,,
1937,7494,,,8925,9658,,115653,4361,8443,4724,158431,,10368,,
1938,7498,,,8927,9667,,115704,4363,8450,4729,158586,,10379,,
1939,7507,,,8932,9681,,116138,4436,8452,4734,158800,,10390,,
1942,7515,,,8935,9682,,116448,4437,8455,4739,159119,,10391,,
1943,7516,,,8936,9690,,116835,4438,8456,4745,159296,,10395,,
1944,7518,,,8976,9693,,116986,4439,8462,4751,161882,,10401,,
1945,7520,,,8986,9697,,116988,4478,8481,4756,162239,,10402,,
1946,7528,,,8997,9698,,121536,4482,8482,4758,162655,,10411,,
1947,7531,,,9016,9705,,121665,4487,8492,4761,162962,,10413,,
1948,7536,,,9025,9727,,122416,4488,8504,4771,162963,,10419,,
1949,7543,,,9031,9736,,124930,4507,8521,4772,162966,,10468,,
1950,7545,,,9039,9739,,125111,4508,8527,4773,162967,,10472,,
1951,7546,,,9043,9745,,126003,4509,8540,4774,162968,,10485,,
1952,7547,,,9044,9746,,126208,4512,8542,4775,162972,,10486,,
1953,7555,,,9045,9751,,126792,4513,8546,4776,162979,,10499,,
1954,7572,,,9053,9757,,127829,4514,8547,4778,162993,,10507,,
1955,7703,,,9063,9758,,129868,4515,8557,4781,163033,,10512,,
1956,7707,,,9066,9759,,131405,4519,8565,4782,163049,,10516,,
1958,7709,,,9070,9760,,139170,4521,8573,4784,163050,,10538,,
1959,7716,,,9079,9762,,140460,4522,8575,4790,163051,,10562,,
1960,7763,,,9092,9775,,140730,4524,8604,4792,163059,,10580,,
1961,7779,,,9096,9777,,140901,4528,8622,4794,163071,,10589,,
1962,7782,,,9097,9778,,143279,4534,8625,4795,163081,,10602,,
1964,7786,,,9100,9781,,144699,4535,8626,4800,163087,,10610,,
1965,7798,,,9101,9782,,146330,4536,8635,4803,163115,,10628,,
1967,7809,,,9110,9788,,147699,4537,8643,4804,163131,,10633,,
1968,7827,,,9112,9789,,148252,4538,8647,4808,163223,,10636,,
1969,7849,,,9113,9792,,149076,4539,8659,4810,163227,,10642,,
1973,7852,,,9114,9794,,149371,4540,8671,4814,163255,,10643,,
1974,7855,,,9126,9796,,152789,4541,8675,4815,166793,,10659,,
1975,7874,,,9128,9819,,153830,4547,8676,4818,166815,,10660,,
1977,7915,,,9129,9821,,157506,4548,8738,4828,167826,,10675,,
1978,7917,,,9130,9823,,158586,4552,8754,4835,168374,,10678,,
1979,7942,,,9131,9825,,160622,4582,8772,4842,168417,,10712,,
1981,7965,,,9132,9839,,160760,4591,8787,4843,168451,,10716,,
1982,7994,,,9135,9846,,162417,4593,8792,4846,168544,,10717,,
1983,8021,,,9138,9848,,169200,4594,8799,4850,168620,,10718,,
1984,8022,,,9139,9853,,170302,4595,8802,4851,168850,,10725,,
1990,8029,,,9147,9854,,170394,4597,8803,4853,169270,,10734,,
1991,8036,,,9149,9858,,170850,4598,8813,4854,169792,,10736,,
1992,8038,,,9150,9861,,171177,4601,8815,4855,169834,,10752,,
1993,8048,,,9169,9869,,192669,4602,8820,4857,169841,,10758,,
1994,8061,,,9175,9874,,192670,4603,8828,4862,170302,,10763,,
1995,8087,,,9181,9879,,195828,4604,8831,4863,170825,,10767,,
1996,8092,,,9185,9887,,199731,4607,8842,4864,170958,,10768,,
1997,8099,,,9188,9889,,201595,4609,8851,4878,170959,,10772,,
1998,8100,,,9201,9898,,203068,4613,8858,4879,170960,,10772,,
1999,8131,,,9202,9901,,220988,4615,8864,4880,171017,,10777,,
2000,8178,,,9203,9908,,221496,4617,8869,4886,171392,,10783,,
2001,8195,,,9211,9909,,221527,4618,8878,4897,195828,,10788,,
2002,8202,,,9213,9912,,221937,4620,8891,4899,196446,,10814,,
2004,8289,,,9219,9913,,246175,4621,8892,4900,196528,,10842,,
2005,8292,,,9223,9922,,246330,4624,8893,4902,197320,,10864,,
2006,8295,,,9228,9925,,253738,4625,8898,4905,197407,,10867,,
2009,8312,,,9229,9926,,253959,4626,8905,4908,199692,,10890,,
2010,8313,,,9231,9927,,254065,4627,8910,4915,199704,,10891,,
2011,8317,,,9236,9931,,259232,4628,8929,4921,199745,,10892,,
2012,8318,,,9252,9939,,259307,4629,8985,4925,199777,,10900,,
2013,8320,,,9254,9948,,266727,4633,8988,4926,200350,,10901,,
2014,8326,,,9260,9949,,282974,4634,9021,4935,200424,,10903,,
2015,8328,,,9261,9960,,283373,4635,9049,4938,200765,,10904,,
2016,8379,,,9267,9967,,283450,4638,9051,4940,201181,,10951,,
2017,8396,,,9276,9968,,283455,4641,9056,4948,201254,,11000,,
2018,8405,,,9282,9969,,283871,4643,9060,4952,201501,,11001,,
2019,8425,,,9295,9972,,284353,4644,9076,4967,201514,,11007,,
2020,8434,,,9312,9978,,284439,4645,9095,4976,201516,,11016,,
2021,8451,,,9314,10000,,284615,4646,9126,4978,201798,,11023,,
2022,8452,,,9318,10008,,285429,4647,9131,4982,203245,,11030,,
2023,8454,,,9319,10009,,285971,4649,9132,4983,203523,,11035,,
2026,8456,,,9320,10010,,286046,4653,9150,4987,205717,,11057,,
2027,8463,,,9331,10013,,286530,4661,9152,4988,219409,,11064,,
2028,8467,,,9334,10014,,338707,4668,9179,4990,219578,,11072,,
2029,8480,,,9343,10018,,339122,4669,9180,5000,219749,,11082,,
2030,8487,,,9344,10036,,342096,4675,9187,5002,220202,,11095,,
2033,8493,,,9349,10048,,343450,4683,9197,5004,220359,,11096,,
2034,8505,,,9352,10049,,343563,4688,9210,5005,220929,,11098,,
2035,8506,,,9353,10052,,344838,4689,9211,5010,220992,,11122,,
2036,8516,,,9354,10054,,347688,4690,9212,5016,221504,,11127,,
2037,8517,,,9355,10055,,348980,4693,9217,5017,221527,,11155,,
2038,8521,,,9360,10061,,349667,4694,9227,5021,221785,,11166,,
2039,8527,,,9361,10062,,353500,4695,9241,5024,221833,,11167,,
2040,8533,,,9362,10063,,374655,4700,9244,5029,221895,,11174,,
2041,8540,,,9369,10075,,388015,4703,9247,5045,221937,,11178,,
2042,8543,,,9372,10079,,388569,4704,9254,5046,222546,,11186,,
2043,8546,,,9375,10084,,389792,4705,9255,5048,222696,,11189,,
2044,8549,,,9378,10090,,389941,4709,9294,5049,222894,,11202,,
2045,8554,,,9379,10092,,391004,4714,9313,5052,252884,,11217,,
2046,8563,,,9394,10093,,391195,4715,9321,5053,253461,,11217,,
2047,8567,,,9406,10094,,392255,4719,9333,5054,253639,,11221,,
2048,8573,,,9411,10096,,401285,4720,9342,5062,253738,,11245,,
2049,8575,,,9415,10097,,401992,4722,9343,5066,254251,,11247,,
2050,8604,,,9416,10098,,401993,4723,9368,5069,255403,,11248,,
2051,8609,,,9425,10109,,403244,4724,9370,5071,255877,,11278,,
2052,8618,,,9441,10123,,440073,4726,9378,5076,256051,,11281,,
2053,8624,,,9444,10124,,440077,4728,9380,5077,256297,,11318,,
2054,8626,,,9448,10134,,440153,4729,9381,5078,256380,,11320,,
2055,8633,,,9456,10135,,440689,4744,9382,5079,257101,,11322,,
2056,8642,,,9459,10140,,441478,4747,9409,5080,266743,,11346,,
2057,8645,,,9468,10150,,441871,4750,9414,5081,282890,,22806,,
2058,8646,,,9470,10155,,474343,4751,9420,5083,283078,,22807,,
2059,8650,,,9472,10163,,641455,4758,9429,5089,283150,,22818,,
2060,8655,,,9474,10175,,642612,4760,9439,5092,283337,,22821,,
2063,8671,,,9475,10178,,645414,4763,9440,5095,283489,,22822,,
2064,8673,,,9478,10180,,653519,4771,9444,5096,283571,,22843,,
2065,8678,,,9479,10181,,653604,4772,9445,5099,283847,,22848,,
2066,8692,,,9480,10189,,728441,4774,9451,5100,283933,,22854,,
2067,8698,,,9493,10194,,728458,4780,9459,5101,284306,,22865,,
2068,8706,,,9498,10197,,729528,4781,9469,5104,284307,,22875,,
2069,8720,,,9500,10203,,100131390,4784,9487,5105,284309,,22883,,
2070,8728,,,9509,10204,,,4790,9496,5119,284312,,22885,,
2071,8737,,,9513,10209,,,4791,9499,5125,284323,,22888,,
2072,8738,,,9515,10210,,,4792,9509,5128,284346,,22890,,
2073,8760,,,9520,10220,,,4803,9516,5137,284349,,22891,,
2074,8772,,,9538,10228,,,4810,9517,5139,284355,,22901,,
2077,8773,,,9542,10235,,,4811,9524,5140,284370,,22903,,
2078,8788,,,9564,10236,,,4815,9526,5141,284371,,22905,,
2079,8799,,,9567,10238,,,4838,9531,5144,284390,,22905,,
2081,8812,,,9568,10253,,,4841,9533,5147,284391,,22924,,
2086,8817,,,9569,10262,,,4848,9563,5150,284406,,22936,,
2091,8820,,,9572,10270,,,4849,9568,5155,284443,,22943,,
2098,8823,,,9575,10274,,,4851,9570,5156,284459,,22978,,
2099,8828,,,9578,10277,,,4853,9573,5159,284695,,22985,,
2100,8829,,,9580,10287,,,4854,9622,5162,285267,,22986,,
2101,8831,,,9584,10294,,,4860,9639,5169,285268,,22998,,
2103,8837,,,9586,10297,,,4862,9640,5170,285346,,23005,,
2104,8841,,,9589,10320,,,4863,9652,5172,285349,,23007,,
2107,8854,,,9611,10336,,,4864,9657,5174,285550,,23017,,
2108,8867,,,9612,10342,,,4867,9662,5175,285676,,23024,,
2109,8882,,,9615,10360,,,4868,9663,5176,285971,,23035,,
2110,8887,,,9620,10363,,,4869,9702,5179,285989,,23037,,
2113,8888,,,9631,10368,,,4878,9723,5184,286075,,23040,,
2114,8894,,,9632,10369,,,4882,9733,5188,286128,,23043,,
2115,8898,,,9640,10370,,,4891,9742,5193,286380,,23048,,
2116,8907,,,9646,10381,,,4893,9759,5195,333929,,23051,,
2117,8914,,,9649,10383,,,4901,9782,5196,338917,,23060,,
2118,8915,,,9667,10389,,,4907,9820,5197,339318,,23070,,
2119,8924,,,9670,10390,,,4909,9839,5198,339324,,23089,,
2120,8928,,,9681,10406,,,4913,9841,5201,339327,,23090,,
2121,8929,,,9682,10413,,,4914,9842,5203,339344,,23092,,
2122,8930,,,9690,10432,,,4915,9896,5209,339488,,23095,,
2123,8936,,,9693,10444,,,4919,9899,5212,339500,,23097,,
2124,8943,,,9697,10450,,,4920,9907,5213,339559,,23109,,
2125,8976,,,9698,10452,,,4921,9927,5214,340069,,23112,,
2128,8985,,,9699,10468,,,4925,9935,5218,340252,,23114,,
2130,8996,,,9700,10471,,,4928,9939,5226,340260,,23118,,
2131,9001,,,9705,10472,,,4935,9968,5228,340385,,23127,,
2132,9021,,,9715,10473,,,4942,9973,5232,340784,,23129,,
2134,9031,,,9716,10479,,,4948,9988,5236,342132,,23143,,
2135,9037,,,9727,10480,,,4952,9990,5243,342357,,23150,,
2137,9039,,,9732,10489,,,4956,9992,5244,342892,,23154,,
2138,9056,,,9733,10492,,,4968,9997,5245,342900,,23180,,
2139,9070,,,9734,10498,,,4976,10000,5251,342908,,23181,,
2140,9076,,,9736,10499,,,4978,10008,5253,342909,,23187,,
2145,9079,,,9739,10507,,,4982,10049,5264,342926,,23187,,
2146,9088,,,9743,10513,,,4983,10058,5265,342933,,23194,,
2147,9093,,,9745,10516,,,4987,10059,5266,342945,,23201,,
2149,9096,,,9746,10523,,,4990,10060,5267,343472,,23208,,
2150,9101,,,9757,10527,,,4998,10075,5269,343930,,23228,,
2151,9113,,,9758,10528,,,5000,10082,5270,344018,,23231,,
2152,9114,,,9759,10538,,,5001,10083,5272,344022,,23239,,
2153,9129,,,9771,10540,,,5002,10084,5275,344167,,23245,,
2155,9131,,,9775,10541,,,5009,10102,5284,344191,,23269,,
2157,9133,,,9776,10554,,,5015,10111,5286,344787,,23279,,
2158,9139,,,9777,10563,,,5018,10117,5290,345222,,23286,,
2159,9146,,,9778,10574,,,5019,10128,5291,345462,,23301,,
2160,9152,,,9781,10575,,,5030,10133,5292,346157,,23302,,
2161,9182,,,9782,10576,,,5034,10142,5293,346171,,23302,,
2162,9184,,,9788,10586,,,5048,10157,5295,347344,,23305,,
2165,9212,,,9790,10594,,,5052,10159,5298,347853,,23314,,
2166,9219,,,9793,10598,,,5053,10161,5305,348327,,23316,,
2167,9241,,,9794,10605,,,5054,10165,5306,349075,,23321,,
2168,9244,,,9810,10612,,,5055,10166,5307,349334,,23328,,
2169,9247,,,9811,10613,,,5058,10194,5308,353088,,23347,,
2170,9254,,,9815,10614,,,5062,10195,5309,353274,,23348,,
2171,9270,,,9821,10620,,,5063,10210,5313,353355,,23363,,
2172,9294,,,9826,10625,,,5069,10216,5314,360023,,23365,,
2173,9314,,,9828,10640,,,5071,10225,5318,360030,,23380,,
2175,9318,,,9829,10643,,,5073,10243,5320,374655,,23380,,
2176,9319,,,9832,10652,,,5075,10262,5321,374879,,23380,,
2177,9321,,,9839,10657,,,5076,10269,5322,374899,,23387,,
2178,9334,,,9844,10658,,,5077,10280,5324,374900,,23389,,
2180,9353,,,9846,10659,,,5078,10295,5325,374928,,23414,,
2181,9355,,,9848,10660,,,5080,10312,5327,378708,,23426,,
2182,9368,,,9853,10664,,,5083,10319,5328,387032,,23446,,
2184,9369,,,9854,10673,,,5087,10342,5329,387332,,23466,,
2185,9371,,,9857,10678,,,5091,10369,5331,388112,,23468,,
2186,9379,,,9858,10682,,,5092,10370,5332,388523,,23484,,
2187,9394,,,9861,10691,,,5095,10371,5334,388536,,23493,,
2188,9412,,,9869,10694,,,5096,10381,5335,388558,,23500,,
2189,9414,,,9873,10716,,,5097,10397,5336,388559,,23507,,
2191,9419,,,9874,10728,,,5101,10456,5337,388561,,23509,,
2192,9421,,,9877,10735,,,5105,10461,5338,388566,,23516,,
2193,9423,,,9879,10736,,,5106,10466,5339,388567,,23522,,
2194,9427,,,9887,10746,,,5111,10479,5340,388569,,23528,,
2195,9444,,,9889,10766,,,5116,10483,5341,388585,,23529,,
2196,9448,,,9892,10768,,,5119,10484,5345,389058,,23531,,
2197,9451,,,9895,10769,,,5122,10516,5351,389114,,23539,,
2199,9464,,,9898,10771,,,5130,10518,5356,389421,,23541,,
2200,9472,,,9901,10787,,,5137,10528,5360,389524,,23544,,
2201,9474,,,9902,10810,,,5139,10535,5361,389549,,23576,,
2202,9475,,,9908,10813,,,5140,10555,5364,389692,,23603,,
2203,9476,,,9909,10815,,,5144,10558,5366,390010,,23635,,
2204,9479,,,9912,10818,,,5145,10559,5371,390259,,23637,,
2205,9496,,,9915,10856,,,5146,10560,5378,390598,,23648,,
2206,9510,,,9922,10857,,,5147,10564,5393,390874,,23650,,
2207,9512,,,9924,10865,,,5148,10568,5394,390927,,23657,,
2208,9517,,,9926,10869,,,5149,10577,5396,390980,,23671,,
2209,9520,,,9927,10879,,,5155,10585,5408,390992,,23683,,
2210,9521,,,9931,10890,,,5156,10594,5420,391723,,23704,,
2212,9531,,,9939,10891,,,5157,10599,5423,399823,,23705,,
2213,9542,,,9943,10904,,,5158,10653,5428,400713,,23743,,
2214,9547,,,9948,10905,,,5159,10682,5430,400720,,23746,,
2215,9559,,,9949,10912,,,5160,10686,5431,402381,,23759,,
2217,9564,,,9958,10914,,,5161,10699,5437,403341,,23767,,
2218,9569,,,9960,10916,,,5162,10715,5444,404281,,23768,,
2219,9573,,,9967,10921,,,5164,10717,5447,431707,,23768,,
2220,9584,,,9968,10923,,,5165,10743,5452,440077,,23769,,
2222,9586,,,9969,10926,,,5167,10747,5454,440097,,24147,,
2224,9589,,,9972,10927,,,5172,10804,5460,440515,,25758,,
2230,9611,,,9978,10938,,,5173,10806,5464,440519,,25769,,
2232,9612,,,9987,10943,,,5176,10841,5465,440695,,25778,,
2235,9618,,,9988,10945,,,5179,10847,5467,441234,,25797,,
2237,9620,,,9989,10946,,,5184,10908,5468,442319,,25802,,
2239,9631,,,9990,10949,,,5188,10913,5469,442425,,25805,,
2241,9647,,,9991,10951,,,5189,10939,5473,503582,,25816,,
2242,9653,,,10000,10952,,,5190,10947,5481,503834,,25817,,
2243,9693,,,10010,10957,,,5191,10999,5493,503835,,25818,,
2244,9700,,,10013,10959,,,5192,11005,5494,619279,,25822,,
2245,9757,,,10014,10961,,,5193,11019,5495,641339,,25830,,
2246,9759,,,10018,10962,,,5194,11023,5496,642658,,25891,,
2247,9774,,,10036,10963,,,5195,11078,5498,642819,,25894,,
2248,9786,,,10048,10970,,,5199,11081,5506,643836,,25897,,
2249,9787,,,10049,10979,,,5205,11093,5511,644168,,25925,,
2250,9794,,,10052,10982,,,5213,11107,5514,644524,,25937,,
2251,9814,,,10054,10983,,,5216,11128,5520,645832,,25959,,
2252,9817,,,10055,10987,,,5224,11136,5523,647219,,25976,,
2253,9820,,,10056,11011,,,5225,11141,5524,647589,,25981,,
2254,9821,,,10061,11013,,,5226,11154,5529,649137,,25987,,
2255,9829,,,10075,11016,,,5230,11155,5530,652991,,26010,,
2256,9837,,,10076,11021,,,5236,11160,5531,653121,,26011,,
2257,9839,,,10079,11030,,,5238,11222,5534,653404,,26018,,
2258,9862,,,10087,11034,,,5243,11231,5536,653427,,26030,,
2259,9863,,,10090,11040,,,5244,11232,5538,654254,,26033,,
2260,9869,,,10093,11043,,,5250,11234,5539,727857,,26040,,
2261,9891,,,10094,11047,,,5251,11235,5547,727940,,26045,,
2262,9894,,,10096,11051,,,5255,11253,5549,728116,,26051,,
2263,9904,,,10097,11063,,,5256,11277,5551,728361,,26052,,
2264,9915,,,10098,11070,,,5257,11281,5557,728927,,26053,,
2266,9927,,,10109,11072,,,5261,11284,5558,728957,,26064,,
2267,9935,,,10121,11073,,,5264,11285,5562,729288,,26086,,
2268,9943,,,10129,11075,,,5265,11315,5573,729747,,26091,,
2271,9948,,,10135,11079,,,5269,11322,5575,730051,,26119,,
2272,9957,,,10146,11083,,,5270,22845,5576,730087,,26137,,
2273,9962,,,10147,11091,,,5271,22852,5578,730291,,26166,,
2274,9965,,,10150,11100,,,5273,22856,5579,731220,,26191,,
2275,9968,,,10152,11112,,,5274,22858,5580,100101467,,26207,,
2277,9978,,,10154,11127,,,5277,22868,5581,100125288,,26287,,
2280,9984,,,10155,11129,,,5279,22897,5583,100128927,,26289,,
2281,9985,,,10162,11141,,,5283,22930,5584,100129543,,26298,,
2286,9986,,,10163,11142,,,5290,22931,5586,100129654,,26339,,
2287,9988,,,10171,11143,,,5293,22934,5587,100129842,,26508,,
2288,9997,,,10178,11151,,,5295,22948,5588,100130086,,26509,,
2289,10006,,,10180,11152,,,5296,22954,5590,100131017,,26953,,
2290,10018,,,10181,11157,,,5297,22995,5591,100131390,,26985,,
2294,10020,,,10194,11159,,,5306,22999,5592,100131539,,26998,,
2295,10021,,,10197,11165,,,5307,23020,5593,100131827,,26999,,
2296,10036,,,10203,11176,,,5308,23064,5594,100131980,,27022,,
2297,10044,,,10210,11177,,,5309,23085,5595,100132074,,27023,,
2298,10048,,,10220,11198,,,5310,23090,5596,100132396,,27086,,
2299,10049,,,10235,11235,,,5311,23092,5603,100271849,,27087,,
2300,10054,,,10236,11248,,,5313,23095,5604,100287226,,27089,,
2301,10059,,,10243,11249,,,5314,23096,5605,100288687,,27092,,
2302,10063,,,10250,11250,,,5317,23118,5606,100289635,,27092,,
2303,10075,,,10253,11254,,,5318,23133,5607,100289678,,27095,,
2304,10087,,,10262,11275,,,5320,23135,5608,100293516,,27115,,
2305,10094,,,10270,11278,,,5321,23169,5617,100381270,,27120,,
2306,10096,,,10274,11282,,,5324,23171,5618,100506164,,27128,,
2307,10111,,,10277,11313,,,5325,23175,5621,100507290,,27141,,
2308,10135,,,10290,11315,,,5328,23189,5624,101060200,,27145,,
2309,10139,,,10291,11325,,,5332,23209,5625,,,27164,,
2312,10146,,,10294,11334,,,5333,23218,5629,,,27165,,
2313,10155,,,10297,11337,,,5334,23224,5639,,,27190,,
2314,10163,,,10318,11346,,,5336,23229,5646,,,27239,,
2315,10194,,,10320,22806,,,5337,23230,5649,,,27245,,
